2023-03-22T22:39:24+03:00
Running ./lab_benchmarks
Run on (12 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.86, 0.85, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
----------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                  Time             CPU   Iterations
----------------------------------------------------------------------------------------------------------------------------
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:10/iterations:100000             190 ns          189 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:20/iterations:100000             186 ns          187 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:30/iterations:100000             185 ns          187 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:40/iterations:100000             187 ns          189 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:50/iterations:100000             185 ns          185 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:60/iterations:100000             187 ns          188 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:70/iterations:100000             191 ns          191 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:80/iterations:100000             192 ns          190 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:90/iterations:100000             188 ns          187 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:100/iterations:100000            187 ns          187 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:200/iterations:100000            197 ns          197 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:300/iterations:100000            210 ns          209 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:400/iterations:100000            217 ns          211 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:500/iterations:100000            225 ns          223 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:600/iterations:100000            224 ns          224 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:700/iterations:100000            232 ns          219 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:800/iterations:100000            238 ns          223 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:900/iterations:100000            243 ns          227 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:1000/iterations:100000           254 ns          238 ns       100000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:10000/iterations:10000           362 ns          290 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:20000/iterations:10000           374 ns          299 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:30000/iterations:10000           391 ns          313 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:40000/iterations:10000           396 ns          314 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:50000/iterations:10000           394 ns          312 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:60000/iterations:10000           397 ns          308 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:70000/iterations:10000           415 ns          322 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:80000/iterations:10000           404 ns          313 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:90000/iterations:10000           421 ns          325 ns        10000
BM_Building_NaiveRectangleEnumeration/Rectangles&Points:100000/iterations:10000          435 ns          325 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:10/iterations:100000           203 ns          206 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:20/iterations:100000           220 ns          220 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:30/iterations:100000           210 ns          214 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:40/iterations:100000           220 ns          223 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:50/iterations:100000           230 ns          233 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:60/iterations:100000           235 ns          241 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:70/iterations:100000           243 ns          249 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:80/iterations:100000           253 ns          254 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:90/iterations:100000           262 ns          263 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:100/iterations:100000          279 ns          281 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:200/iterations:100000          336 ns          335 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:300/iterations:100000          393 ns          391 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:400/iterations:100000          449 ns          446 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:500/iterations:100000          498 ns          499 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:600/iterations:100000          555 ns          554 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:700/iterations:100000          625 ns          626 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:800/iterations:100000          673 ns          674 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:900/iterations:100000          726 ns          728 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:1000/iterations:100000         790 ns          796 ns       100000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:10000/iterations:10000        6501 ns         6513 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:20000/iterations:10000       12084 ns        12154 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:30000/iterations:10000       17764 ns        17853 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:40000/iterations:10000       23836 ns        23921 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:50000/iterations:10000       29326 ns        29409 ns        10000
BM_PerRequest_NaiveRectangleEnumeration/Rectangles&Points:60000/iterations:10000       35242 ns        35322 ns        10000
